Magma V2.29-6     Fri May 29 2026 13:45:51 on Chatchawans-Laptop-2 [Seed = 
1596719953]
Type ? for help.  Type <Ctrl>-D to quit.

Loading file "supplementary/code/verify_theorem_magma.m"
# Exact Magma verification for p<q, p,q == 5 mod 8, pq <= 30000
# Magma version: V2.29-6 in the recorded run
# Proof settings: Magma defaults; this script sets no GRH or conditional class-group flag
# Columns: p,q,D,leg,q4pq,q4qp,h,hplus,v2hplus,epsnorm,isPrincipalP,isPrincipalQ,wideInv,narrowInv,narrowTwoInv
5,2909,14545,1,1,-1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
5,2917,14585,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,2957,14785,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,3037,15185,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,3061,15305,1,-1,1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
5,3109,15545,1,1,-1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
5,3181,15905,1,-1,1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
5,3221,16105,1,-1,1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
5,3229,16145,1,1,-1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
5,3253,16265,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,3301,16505,1,1,1,4,8,3,1,1,1,"[ 4 ]","[ 8 ]","[ 8 ]"
5,3373,16865,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,3389,16945,1,-1,-1,4,4,2,-1,0,0,"[ 4 ]","[ 4 ]","[ 4 ]"
5,3413,17065,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,3461,17305,1,1,1,8,8,3,-1,0,0,"[ 8 ]","[ 8 ]","[ 8 ]"
5,3469,17345,1,-1,-1,4,4,2,-1,0,0,"[ 4 ]","[ 4 ]","[ 4 ]"
5,3517,17585,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,3533,17665,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,3541,17705,1,-1,1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
5,3557,17785,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,3581,17905,1,1,1,12,24,3,1,1,1,"[ 12 ]","[ 24 ]","[ 8 ]"
5,3613,18065,-1,0,0,6,6,1,-1,0,0,"[ 6 ]","[ 6 ]","[ 2 ]"
5,3637,18185,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,3677,18385,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,3701,18505,1,-1,1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
5,3709,18545,1,1,-1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
5,3733,18665,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,3797,18985,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,3821,19105,1,1,1,8,16,4,1,1,1,"[ 8 ]","[ 16 ]","[ 16 ]"
5,3853,19265,-1,0,0,6,6,1,-1,0,0,"[ 6 ]","[ 6 ]","[ 2 ]"
5,3877,19385,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,3917,19585,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,3989,19945,1,-1,-1,4,4,2,-1,0,0,"[ 4 ]","[ 4 ]","[ 4 ]"
5,4013,20065,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,4021,20105,1,1,1,4,8,3,1,1,1,"[ 4 ]","[ 8 ]","[ 8 ]"
5,4093,20465,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,4133,20665,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,4157,20785,-1,0,0,14,14,1,-1,0,0,"[ 14 ]","[ 14 ]","[ 2 ]"
5,4229,21145,1,-1,-1,4,4,2,-1,0,0,"[ 4 ]","[ 4 ]","[ 4 ]"
5,4253,21265,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,4261,21305,1,-1,1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
5,4349,21745,1,1,-1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
5,4357,21785,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,4373,21865,-1,0,0,18,18,1,-1,0,0,"[ 18 ]","[ 18 ]","[ 2 ]"
5,4397,21985,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,4421,22105,1,-1,1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
5,4493,22465,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,4517,22585,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,4549,22745,1,-1,-1,4,4,2,-1,0,0,"[ 4 ]","[ 4 ]","[ 4 ]"
5,4597,22985,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,4621,23105,1,1,1,24,24,3,-1,0,0,"[ 24 ]","[ 24 ]","[ 8 ]"
5,4637,23185,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,4733,23665,-1,0,0,6,6,1,-1,0,0,"[ 6 ]","[ 6 ]","[ 2 ]"
5,4789,23945,1,-1,-1,4,4,2,-1,0,0,"[ 4 ]","[ 4 ]","[ 4 ]"
5,4813,24065,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,4861,24305,1,1,1,4,8,3,1,1,1,"[ 4 ]","[ 8 ]","[ 8 ]"
5,4877,24385,-1,0,0,10,10,1,-1,0,0,"[ 10 ]","[ 10 ]","[ 2 ]"
5,4909,24545,1,1,-1,10,20,2,1,1,1,"[ 10 ]","[ 20 ]","[ 4 ]"
5,4933,24665,-1,0,0,6,6,1,-1,0,0,"[ 6 ]","[ 6 ]","[ 2 ]"
5,4957,24785,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,4973,24865,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,5021,25105,1,1,1,4,8,3,1,1,1,"[ 4 ]","[ 8 ]","[ 8 ]"
5,5077,25385,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,5101,25505,1,1,1,4,8,3,1,1,1,"[ 4 ]","[ 8 ]","[ 8 ]"
5,5189,25945,1,1,-1,6,12,2,1,1,1,"[ 6 ]","[ 12 ]","[ 4 ]"
5,5197,25985,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,5237,26185,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,5261,26305,1,1,1,8,8,3,-1,0,0,"[ 8 ]","[ 8 ]","[ 8 ]"
5,5309,26545,1,1,-1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
5,5333,26665,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,5381,26905,1,-1,1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
5,5413,27065,-1,0,0,6,6,1,-1,0,0,"[ 6 ]","[ 6 ]","[ 2 ]"
5,5437,27185,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,5477,27385,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,5501,27505,1,-1,1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
5,5557,27785,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,5573,27865,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,5581,27905,1,-1,1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
5,5653,28265,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,5669,28345,1,-1,-1,4,4,2,-1,0,0,"[ 4 ]","[ 4 ]","[ 4 ]"
